Title,Author,Genre,ReleaseYear
Laser Sword,Grant Morrison,Sci-Fi,1996
Plasma Cannon,Matt Fraction,Sci-Fi,2010
Quantum Drive,Kelly Sue DeConnick,Sci-Fi,2003
Temporal Anomaly,Neil Gaiman,Sci-Fi,1982
Parallel Parking,Neil Gaiman,Fantasy,1992
Upside Down,Tom Taylor,Sci-Fi,1983
Just For Justice,Matt Fraction,Superhero,2008
Avengers Assemble,Rainbow Rowell,Superhero,1991
X-Force,Chip Zdarsky,Superhero,1980
Suicide Squad,Brian K. Vaughan,Superhero,2005
Guardians of the Grove,Kelly Sue DeConnick,Sci-Fi,1998
Fantastic Four Hundred,Kelly Sue DeConnick,Superhero,2010
Teen Titans,Jonathan Hickman,Superhero,1994
Young Avengers,Chip Zdarsky,Superhero,2002
Runaways,Chip Zdarsky,Superhero,2009
New Plants,Saladin Ahmed,Superhero,2009
Alpha Flight,Matt Fraction,Superhero,2008
Outsiders,G. Willow Wilson,Superhero,1990
Birds of Prey,Brian K. Vaughan,Superhero,2000
Deep Freeze,G. Willow Wilson,Adventure,1983
Whiteout,Saladin Ahmed,Adventure,1982
Shadow Walker,Saladin Ahmed,Superhero,1985
Night Hunter,Brian K. Vaughan,Superhero,1999
Dark Avenger,Jonathan Hickman,Superhero,1987
Phantom Rider,Grant Morrison,Superhero,1990
Silent Assassin,Chip Zdarsky,Action,1998
Masked Vigilante,Tom Taylor,Superhero,2004
Secret Identity,Brian K. Vaughan,Superhero,1985
Hidden Agenda,Chip Zdarsky,Mystery,2007
Conspiracy Theory,Al Ewing,Mystery,1981
Mythic Quest,Chip Zdarsky,Fantasy,1990
Dark Prophecy,Brian K. Vaughan,Fantasy,1994
Noir City,Jonathan Hickman,Crime,1992
